case,controller,seeds,vehicles_entered,vehicles_rejected,vehicles_exited,throughput_per_hour,total_waiting_time,average_queue_length,max_queue_length,final_queue_total,total_blocked,waiting_per_admitted,vehicles_entered_pct_vs_fixed,vehicles_rejected_pct_vs_fixed,vehicles_exited_pct_vs_fixed,throughput_per_hour_pct_vs_fixed,total_waiting_time_pct_vs_fixed,average_queue_length_pct_vs_fixed,max_queue_length_pct_vs_fixed,final_queue_total_pct_vs_fixed,total_blocked_pct_vs_fixed,waiting_per_admitted_pct_vs_fixed,waiting_per_admitted_seeds_better_than_fixed,waiting_per_admitted_seeds_worse_than_fixed,throughput_per_hour_seeds_better_than_fixed,throughput_per_hour_seeds_worse_than_fixed,vehicles_entered_pct_vs_adaptive,vehicles_rejected_pct_vs_adaptive,vehicles_exited_pct_vs_adaptive,throughput_per_hour_pct_vs_adaptive,total_waiting_time_pct_vs_adaptive,average_queue_length_pct_vs_adaptive,max_queue_length_pct_vs_adaptive,final_queue_total_pct_vs_adaptive,total_blocked_pct_vs_adaptive,waiting_per_admitted_pct_vs_adaptive,waiting_per_admitted_seeds_better_than_adaptive,waiting_per_admitted_seeds_worse_than_adaptive,throughput_per_hour_seeds_better_than_adaptive,throughput_per_hour_seeds_worse_than_adaptive
balanced_medium,fixed,5,7194.627142392832,0.0,7195.000672238672,7195.000672238672,517774.01002358284,5.992754745643319,14.99043675950011,0.0,0.0,71.96676464148725,,,,,,,,,,,,,,,,,,,,,,,,,,,,
balanced_medium,adaptive,5,7194.627142392832,0.0,7186.661456395459,7186.661456395459,550616.2324651055,6.372873060938721,19.693198179203637,9.234436044429343,0.0,76.5303790656117,0.0,,-0.11590291958400523,-0.11590291958400523,6.342964653638522,6.342964653638537,31.371743833435524,,,6.341280515886398,0,5,0,5,,,,,,,,,,,,,,
balanced_medium,qubo_static,5,7194.627142392832,0.0,7195.000672238672,7195.000672238672,517774.01002358284,5.992754745643319,14.99043675950011,0.0,0.0,71.96676464148725,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0.0,,0.11603741033038781,0.11603741033038781,-5.964630264256505,-5.9646302642565185,-23.880130474032025,-100.0,,-5.963141016473908,5,0,5,0
balanced_medium,qubo_receding,5,7194.627142392832,0.0,7195.000672238672,7195.000672238672,517774.01002358284,5.992754745643319,14.99043675950011,0.0,0.0,71.96676464148725,0.0,,0.0,0.0,0.0,0.0,0.0,,,0.0,0,0,0,0,0.0,,0.11603741033038781,0.11603741033038781,-5.964630264256505,-5.9646302642565185,-23.880130474032025,-100.0,,-5.963141016473908,5,0,5,0
ns_heavy,fixed,5,6833.759976916146,1087.845754466842,6834.762291253038,6834.762291253038,989495.3394585645,11.452492354844496,40.0,147.57773196740172,0.0,144.79532109545715,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ns_heavy,adaptive,5,7898.548815273427,23.056916109561854,7966.966722858966,7966.966722858966,770270.3100934464,8.915165626081555,40.0,61.51825679000673,0.0,97.52207832808388,15.5813028545639,-97.8804976702913,16.565381257734387,16.565381257734387,-22.155236171710968,-22.155236171710975,0.0,-58.314675276622744,,-32.64832206574418,5,0,5,0,,,,,,,,,,,,,,
ns_heavy,qubo_static,5,7901.6320113799065,19.97372000308186,8034.641031223515,8034.641031223515,581275.5980165398,6.727726828895136,40.0,2.6470408112937625,0.0,73.56211161026125,15.626419980668626,-98.16391984607496,17.555529934172732,17.555529934172732,-41.255347565901204,-41.255347565901204,0.0,-98.20634131179192,,-49.19579510323749,5,0,5,0,0.039034969316358636,-13.372109660412798,0.849436312698237,0.849436312698237,-24.536154334441168,-24.536154334441168,0.0,-95.6971459377832,,-24.568761380593713,5,0,5,0
ns_heavy,qubo_receding,5,7901.313295716505,20.292435666482582,8007.8562088762865,8007.8562088762865,657476.254035434,7.609678866150856,40.0,25.60401755360481,0.0,83.21057564935913,15.621756140198992,-98.1346219734591,17.163638874822986,17.163638874822986,-33.554385976674325,-33.554385976674325,0.0,-82.65048716207372,,-42.532275891358346,5,0,5,0,0.034999852602451205,-11.98981004199787,0.5132378160937913,0.5132378160937913,-14.643438099584632,-14.64343809958463,0.0,-58.37980643534097,,-14.675141182469448,5,0,4,1
ew_heavy,fixed,5,5762.203687666812,705.4448657358628,5762.738044866298,5762.738044866298,811511.0929581277,9.392489501830182,40.0,99.27216899174482,0.0,140.83410281265327,,,,,,,,,,,,,,,,,,,,,,,,,,,,
ew_heavy,adaptive,5,6430.992549251066,36.656004151608975,6408.63823198459,6408.63823198459,845235.6110724375,9.782819572597655,40.0,100.88175698602274,0.0,131.42385605945708,11.606477275624648,-94.80384563953523,11.208217033111339,11.208217033111339,4.155767974948665,4.155767974948646,0.0,1.6213889659364298,,-6.681795506386913,5,0,5,0,,,,,,,,,,,,,,
